,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,time_stamp
10,2010,Cardano,ADA,cardano,1310,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,34986894172.872856,44995214670.62046,False,,11,,,,2024-10-30T18:52:00.000Z,0.35593151359932657,315528685.606195,6.1929,0.09400872,0.54783965,2.7372966,-6.37564425,2.54415895,-3.84287877,12452938199.090094,0.5128,16016918111.97,,2024-10-30T18:52:00.000Z,,,,,,2024-10-30 19:53:34.460232
11,5994,Shiba Inu,SHIB,shiba-inu,895,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589266950852374.1,589518257425243.2,False,,12,,,,2024-10-30T18:52:00.000Z,1.8463294424800545e-05,525228605.64805436,-32.0344,0.07955234,-4.20502473,6.80791458,3.51018153,33.6117052,23.07354796,10879809208.391855,0.4478,10884449155.64,,2024-10-30T18:52:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-10-30 19:53:34.460232
12,5805,Avalanche,AVAX,avalanche,796,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1']",715748719.0,407083577.53563964,447086677.53563964,False,,13,,,,2024-10-30T18:52:00.000Z,26.216780221857174,268120132.08262807,-5.1381,0.1324823,-3.04303071,-0.04105969,-6.86788987,15.70593363,8.27925166,10672420684.179218,0.44,18764626860.1,,2024-10-30T18:52:00.000Z,,,,,,2024-10-30 19:53:34.460232
13,1975,Chainlink,LINK,chainlink,1870,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,626849970.4527867,1000000000.0,False,,14,,,,2024-10-30T18:52:00.000Z,12.222006601769968,316793010.8297403,18.8807,0.07377023,4.99511243,10.19129217,2.2219578,11.01183044,0.09704051,7661364477.193268,0.3158,12222006601.77,,2024-10-30T18:52:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-10-30 19:53:34.460232
14,1831,Bitcoin Cash,BCH,bitcoin-cash,939,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19781468.75,19781468.75,False,,15,,,,2024-10-30T18:52:00.000Z,372.65663798178196,379104710.3230204,-13.8167,0.54781248,-3.40879396,8.84305667,8.92115987,15.48092983,-4.57047795,7371695638.716682,0.3039,7825789397.62,,2024-10-30T18:52:00.000Z,,,,,,2024-10-30 19:53:34.460232
0,1,Bitcoin,BTC,bitcoin,11793,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19775359.0,19775359.0,False,,1,,,,2024-10-30T18:53:00.000Z,71909.06968472939,44458941060.95677,-21.8233,0.17768628,-1.58696492,9.1744441,13.56677114,22.09697172,14.51799056,1422027668371.5405,58.623,1510090463379.32,,2024-10-30T18:53:00.000Z,,,,,,2024-10-30 19:54:35.962343
1,1027,Ethereum,ETH,ethereum,9468,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120406284.16331623,120406284.16331623,True,,2,,,,2024-10-30T18:53:00.000Z,2667.2555826430316,22803268212.190407,-0.8808,-0.16001951,0.2507012,7.34944834,3.13391896,6.83492998,-13.50787991,321154333619.90845,13.2396,321154333619.91,,2024-10-30T18:53:00.000Z,,,,,,2024-10-30 19:54:35.962343
2,825,Tether USDt,USDT,tether,101999,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,120504138281.46748,122337925861.4382,True,,3,,,,2024-10-30T18:53:00.000Z,0.9995722061921597,73764318790.08818,-15.8943,-0.00555659,-0.02210181,0.10134719,-0.01368618,-0.06282576,0.04731523,120452587357.29153,4.9657,122285590454.29,,2024-10-30T18:53:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-10-30 19:54:35.962343
3,1839,BNB,BNB,bnb,2273,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,145930929.81203407,145930929.81203407,False,,4,,,,2024-10-30T18:53:00.000Z,599.0398156276568,1736983820.1840081,-7.6513,0.23364179,-1.47396529,3.81107025,4.90572985,12.38349029,8.1396616,87418437288.97342,3.6038,87418437288.97,,2024-10-30T18:53:00.000Z,,,,,,2024-10-30 19:54:35.962343
4,5426,Solana,SOL,solana,776,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,470378194.5149365,587536675.2298243,True,,5,,,,2024-10-30T18:53:00.000Z,174.2919087693375,3005015391.080778,-26.4869,-0.40272391,-4.04189329,3.00806857,12.43510214,28.54567033,9.59614219,81983113365.483,3.3762,102402888597.8,,2024-10-30T18:53:00.000Z,,,,,,2024-10-30 19:54:35.962343
